"Juvenile Intake Cases by Ethnicity, FY 2018-2020*",,,,,,,,,,,,,,,,,,
CSU,FIPS,ETHNICITY,FY18 %,FY19 %,FY20 %,FY18 #,FY19 #,FY20 #,,,,,,,,,,
14,087,Hispanic,5.9%,6.4%,7.4%,79,83,91,,,,,,,,,,
14,087,Non-Hispanic,38.7%,55.9%,74.6%,522,730,924,,,,,,,,,,
14,087,Unknown/Missing,55.4%,37.7%,18.0%,747,493,223,,,,,,,,,,
15,033,Hispanic,3.2%,5.9%,8.8%,4,7,8,,,,,,,,,,
15,033,Non-Hispanic,43.5%,35.6%,76.9%,54,42,70,,,,,,,,,,
15,033,Unknown/Missing,53.2%,58.5%,14.3%,66,69,13,,,,,,,,,,
15,057,Hispanic,6.5%,3.6%,0.0%,2,2,0,,,,,,,,,,
15,057,Non-Hispanic,12.9%,33.9%,87.1%,4,19,54,,,,,,,,,,
15,057,Unknown/Missing,80.6%,62.5%,12.9%,25,35,8,,,,,,,,,,
15,085,Hispanic,0.6%,1.4%,2.3%,2,6,7,,,,,,,,,,
15,085,Non-Hispanic,22.9%,22.1%,36.3%,83,92,113,,,,,,,,,,
15,085,Unknown/Missing,76.6%,76.5%,61.4%,278,319,191,,,,,,,,,,
15,099,Hispanic,1.7%,0.0%,2.7%,2,0,2,,,,,,,,,,
15,099,Non-Hispanic,33.9%,39.6%,71.6%,41,40,53,,,,,,,,,,
15,099,Unknown/Missing,64.5%,60.4%,25.7%,78,61,19,,,,,,,,,,
15,103,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
15,103,Non-Hispanic,3.4%,11.5%,71.9%,2,6,23,,,,,,,,,,
15,103,Unknown/Missing,96.6%,88.5%,28.1%,57,46,9,,,,,,,,,,
15,133,Hispanic,0.0%,0.0%,7.5%,0,0,3,,,,,,,,,,
15,133,Non-Hispanic,0.0%,7.7%,60.0%,0,3,24,,,,,,,,,,
15,133,Unknown/Missing,100.0%,92.3%,32.5%,44,36,13,,,,,,,,,,
15,159,Hispanic,0.0%,11.1%,0.0%,0,1,0,,,,,,,,,,
15,159,Non-Hispanic,5.6%,0.0%,90.9%,1,0,10,,,,,,,,,,
15,159,Unknown/Missing,94.4%,88.9%,9.1%,17,8,1,,,,,,,,,,
15,177,Hispanic,6.5%,10.8%,11.1%,25,43,32,,,,,,,,,,
15,177,Non-Hispanic,23.4%,25.9%,36.8%,90,103,106,,,,,,,,,,
15,177,Unknown/Missing,70.1%,63.2%,52.1%,270,251,150,,,,,,,,,,
15,179,Hispanic,7.5%,11.5%,10.1%,40,60,52,,,,,,,,,,
15,179,Non-Hispanic,20.9%,21.2%,51.8%,112,111,266,,,,,,,,,,
15,179,Unknown/Missing,71.6%,67.4%,38.1%,383,353,196,,,,,,,,,,
15,193,Hispanic,0.0%,1.3%,8.2%,0,1,5,,,,,,,,,,
15,193,Non-Hispanic,19.4%,24.1%,90.2%,12,19,55,,,,,,,,,,
15,193,Unknown/Missing,80.6%,74.7%,1.6%,50,59,1,,,,,,,,,,
15,630,Hispanic,11.8%,16.9%,11.2%,29,45,24,,,,,,,,,,
15,630,Non-Hispanic,78.8%,75.2%,78.6%,193,200,169,,,,,,,,,,
15,630,Unknown/Missing,9.4%,7.9%,10.2%,23,21,22,,,,,,,,,,
16,003,Hispanic,16.0%,17.1%,10.7%,44,48,23,,,,,,,,,,
16,003,Non-Hispanic,31.6%,35.7%,72.1%,87,100,155,,,,,,,,,,
16,003,Unknown/Missing,52.4%,47.1%,17.2%,144,132,37,,,,,,,,,,
16,047,Hispanic,20.0%,14.2%,21.5%,68,39,39,,,,,,,,,,
16,047,Non-Hispanic,31.2%,46.7%,72.4%,106,128,131,,,,,,,,,,
16,047,Unknown/Missing,48.8%,39.1%,6.1%,166,107,11,,,,,,,,,,
16,065,Hispanic,1.8%,0.0%,2.0%,1,0,1,,,,,,,,,,
16,065,Non-Hispanic,10.5%,33.3%,56.0%,6,14,28,,,,,,,,,,
16,065,Unknown/Missing,87.7%,66.7%,42.0%,50,28,21,,,,,,,,,,
16,075,Hispanic,1.6%,6.7%,4.4%,1,3,2,,,,,,,,,,
16,075,Non-Hispanic,9.4%,22.2%,91.1%,6,10,41,,,,,,,,,,
16,075,Unknown/Missing,89.1%,71.1%,4.4%,57,32,2,,,,,,,,,,
16,079,Hispanic,9.5%,7.9%,8.0%,9,6,7,,,,,,,,,,
16,079,Non-Hispanic,25.3%,60.5%,85.2%,24,46,75,,,,,,,,,,
16,079,Unknown/Missing,65.3%,31.6%,6.8%,62,24,6,,,,,,,,,,
16,109,Hispanic,1.5%,12.4%,5.0%,2,24,5,,,,,,,,,,
16,109,Non-Hispanic,23.1%,22.8%,78.0%,30,44,78,,,,,,,,,,
16,109,Unknown/Missing,75.4%,64.8%,17.0%,98,125,17,,,,,,,,,,
16,113,Hispanic,0.0%,0.0%,4.8%,0,0,2,,,,,,,,,,
16,113,Non-Hispanic,20.4%,34.9%,85.7%,10,15,36,,,,,,,,,,
16,113,Unknown/Missing,79.6%,65.1%,9.5%,39,28,4,,,,,,,,,,
16,137,Hispanic,1.4%,6.4%,0.9%,2,9,1,,,,,,,,,,
16,137,Non-Hispanic,31.5%,42.9%,91.5%,45,60,107,,,,,,,,,,
16,137,Unknown/Missing,67.1%,50.7%,7.7%,96,71,9,,,,,,,,,,
16,540,Hispanic,14.6%,14.3%,6.5%,23,19,8,,,,,,,,,,
16,540,Non-Hispanic,36.9%,42.9%,79.0%,58,57,98,,,,,,,,,,
