"Juvenile Intake Cases by Race, FY 2018-2020*",,,,,,,,,,,,,,,,,,,,,
CSU,FIPS,RACE,FY18 %,FY19 %,FY20 %,FY18 #,FY19 #,FY20 #,,,,,,,,,,,,,
15,133,White,52.3%,53.8%,27.5%,23,21,11,,,,,,,,,,,,,
15,133,Other/Unknown,6.8%,7.7%,12.5%,3,3,5,,,,,,,,,,,,,
15,159,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
15,159,Black,72.2%,44.4%,36.4%,13,4,4,,,,,,,,,,,,,
15,159,White,27.8%,22.2%,63.6%,5,2,7,,,,,,,,,,,,,
15,159,Other/Unknown,0.0%,33.3%,0.0%,0,3,0,,,,,,,,,,,,,
15,177,Asian,1.3%,0.0%,0.3%,5,0,1,,,,,,,,,,,,,
15,177,Black,34.3%,36.5%,37.2%,132,145,107,,,,,,,,,,,,,
15,177,White,57.9%,49.1%,49.7%,223,195,143,,,,,,,,,,,,,
15,177,Other/Unknown,6.5%,14.4%,12.8%,25,57,37,,,,,,,,,,,,,
15,179,Asian,0.4%,0.2%,0.4%,2,1,2,,,,,,,,,,,,,
15,179,Black,34.0%,31.7%,40.3%,182,166,207,,,,,,,,,,,,,
15,179,White,45.0%,48.3%,47.1%,241,253,242,,,,,,,,,,,,,
15,179,Other/Unknown,20.6%,19.8%,12.3%,110,104,63,,,,,,,,,,,,,
15,193,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
15,193,Black,48.4%,30.4%,36.1%,30,24,22,,,,,,,,,,,,,
15,193,White,43.5%,51.9%,45.9%,27,41,28,,,,,,,,,,,,,
15,193,Other/Unknown,8.1%,17.7%,18.0%,5,14,11,,,,,,,,,,,,,
15,630,Asian,0.8%,1.5%,1.4%,2,4,3,,,,,,,,,,,,,
15,630,Black,37.6%,41.4%,40.5%,92,110,87,,,,,,,,,,,,,
15,630,White,53.5%,44.7%,40.0%,131,119,86,,,,,,,,,,,,,
15,630,Other/Unknown,8.2%,12.4%,18.1%,20,33,39,,,,,,,,,,,,,
16,003,Asian,0.7%,0.0%,0.5%,2,0,1,,,,,,,,,,,,,
16,003,Black,31.3%,36.4%,33.5%,86,102,72,,,,,,,,,,,,,
16,003,White,54.5%,47.1%,56.3%,150,132,121,,,,,,,,,,,,,
16,003,Other/Unknown,13.5%,16.4%,9.8%,37,46,21,,,,,,,,,,,,,
16,047,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
16,047,Black,28.8%,27.4%,24.3%,98,75,44,,,,,,,,,,,,,
16,047,White,50.3%,51.1%,51.4%,171,140,93,,,,,,,,,,,,,
16,047,Other/Unknown,20.9%,21.5%,24.3%,71,59,44,,,,,,,,,,,,,
16,065,Asian,1.8%,2.4%,0.0%,1,1,0,,,,,,,,,,,,,
16,065,Black,15.8%,23.8%,20.0%,9,10,10,,,,,,,,,,,,,
16,065,White,70.2%,66.7%,76.0%,40,28,38,,,,,,,,,,,,,
16,065,Other/Unknown,12.3%,7.1%,4.0%,7,3,2,,,,,,,,,,,,,
16,075,Asian,0.0%,2.2%,0.0%,0,1,0,,,,,,,,,,,,,
16,075,Black,21.9%,13.3%,20.0%,14,6,9,,,,,,,,,,,,,
16,075,White,73.4%,82.2%,66.7%,47,37,30,,,,,,,,,,,,,
16,075,Other/Unknown,4.7%,2.2%,13.3%,3,1,6,,,,,,,,,,,,,
16,079,Asian,0.0%,1.3%,1.1%,0,1,1,,,,,,,,,,,,,
16,079,Black,21.1%,19.7%,17.0%,20,15,15,,,,,,,,,,,,,
16,079,White,77.9%,69.7%,67.0%,74,53,59,,,,,,,,,,,,,
16,079,Other/Unknown,1.1%,9.2%,14.8%,1,7,13,,,,,,,,,,,,,
16,109,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
16,109,Black,22.3%,14.0%,19.0%,29,27,19,,,,,,,,,,,,,
16,109,White,63.1%,56.0%,63.0%,82,108,63,,,,,,,,,,,,,
16,109,Other/Unknown,14.6%,30.1%,18.0%,19,58,18,,,,,,,,,,,,,
16,113,Asian,0.0%,0.0%,2.4%,0,0,1,,,,,,,,,,,,,
16,113,Black,16.3%,16.3%,23.8%,8,7,10,,,,,,,,,,,,,
